india
virendra sehwag,top order
sachin tendulkar,top order
gautam gambir,top order
virat kohli,top order
yuvraj singh,middle order
suresh raina,middle order
ms dhoni,middle order
hardik pandya,all
harbhajan singh,bowl all
zaheer khan,fast
jasprit bumbrah,fast
anil kumble,spin
rohit sharma,top order
md shami,fast
kl rahul,middle
australia
david warner,top order
adam gilchrist,top order
ricky ponting,top order
steve smith,top order
michael clarke,top order
mike hussey,middle order
shane watson,middle order
glenn mcgrath,fast
bret lee,fast
mitchel starc,fast
shane warne,spin
andrew symmonds,ball all
pat cummins,fast
adam zampa,spin
glenn maxwell,spin all
